date,views,unique_views,clones,unique_clones,top_referrer,top_referrer_hits,top_path,top_path_hits
2026-05-28,1,1,16,1,,,,
2026-05-29,4,3,26,3,,,,
2026-05-30,2,2,3,3,,,,
2026-05-31,0,0,0,0,,,,
2026-06-01,1,1,0,0,,,,
2026-06-02,1,1,2,2,,,,
2026-06-03,6,3,1,1,,,,
2026-06-04,10,1,0,0,,,,
2026-06-05,71,5,133,48,,,,
2026-06-06,24,3,24,11,,,,
2026-06-07,14,2,5,5,,,,
2026-06-08,10,3,114,31,,,,
2026-06-09,109,4,153,32,,,,
2026-06-10,32,1,1,1,,,,
2026-06-11,0,0,0,0,github.com,82,/navox-labs/agents,99
